date,pool_price,visser_prod,bissell_prod,month,combined_production,combined_revenue
2025-06-15,23.26521739130435,80.3,,6,80.3,1868.1969565217394
2025-06-16,183.41304347826087,92.6,,6,92.6,16984.047826086957
2025-06-17,78.61652173913043,82.7,,6,82.7,6501.586347826087
2025-06-18,51.861304347826085,79.4,,6,79.4,4117.787565217392
2025-06-19,20.23,34.5,,6,34.5,697.9350000000001
2025-06-20,183.2565217391304,,,6,,
2025-06-21,8.460434782608695,,,6,,
2025-06-22,19.32608695652174,,,6,,
2025-06-23,13.140869565217391,,,6,,
2025-06-24,20.857391304347825,,,6,,
2025-06-25,10.848260869565218,,,6,,
2025-06-26,22.0508695652174,89.8,,6,89.8,1980.1680869565225
2025-06-27,8.497391304347826,78.6,,6,78.6,667.894956521739
2025-06-28,16.245652173913044,56.3,,6,56.3,914.6302173913043
2025-06-29,12.77782608695652,93.6,,6,93.6,1196.00452173913
2025-06-30,64.99913043478261,92.1,,6,92.1,5986.419913043478
2025-07-01,27.759565217391305,74.5,,7,74.5,2068.0876086956523
2025-07-02,26.25086956521739,86.0,,7,86.0,2257.5747826086954
2025-07-03,15.882608695652175,21.0,,7,21.0,333.5347826086957
2025-07-04,24.729565217391304,43.8,,7,43.8,1083.154956521739
2025-07-05,24.671739130434784,86.1,,7,86.1,2124.2367391304347
2025-07-06,24.890434782608697,32.6,,7,32.6,811.4281739130436
2025-07-07,44.05391304347826,75.9,,7,75.9,3343.692
2025-07-08,23.24347826086957,85.7,,7,85.7,1991.966086956522
2025-07-09,18.03434782608696,74.0,,7,74.0,1334.5417391304352
2025-07-10,25.873043478260872,54.3,,7,54.3,1404.9062608695654
2025-07-11,25.86434782608696,10.1,,7,10.1,261.2299130434783
2025-07-12,116.26652173913044,,,7,,
2025-07-13,62.580000000000005,,,7,,
2025-07-14,22.77434782608696,,,7,,
2025-07-15,25.10782608695652,,,7,,
2025-07-16,18.648260869565217,3.2,,7,3.2,59.6744347826087
2025-07-17,32.78608695652174,62.08333333333332,,7,62.08333333333332,2035.4695652173912
2025-07-18,21.70434782608696,62.08333333333332,,7,62.08333333333332,1347.478260869565
2025-07-19,18.317391304347822,62.08333333333332,,7,62.08333333333332,1137.204710144927
2025-07-20,25.52217391304348,62.08333333333332,,7,62.08333333333332,1584.5016304347826
2025-07-21,35.67565217391304,62.08333333333332,,7,62.08333333333332,2214.863405797101
2025-07-22,20.082608695652173,62.08333333333332,,7,62.08333333333332,1246.795289855072
2025-07-23,23.639565217391304,62.08333333333332,,7,62.08333333333332,1467.6230072463766
2025-07-24,9.95217391304348,62.08333333333332,,7,62.08333333333332,617.8641304347825
2025-07-25,6.674347826086956,62.08333333333332,,7,62.08333333333332,414.3657608695651
2025-07-26,9.389565217391304,62.08333333333332,,7,62.08333333333332,582.9355072463767
2025-07-27,11.429130434782609,62.08333333333332,,7,62.08333333333332,709.5585144927535
2025-07-28,15.630869565217392,62.08333333333332,,7,62.08333333333332,970.4164855072462
2025-07-29,47.67,62.08333333333332,,7,62.08333333333332,2959.5124999999994
2025-07-30,90.18695652173912,62.08333333333332,,7,62.08333333333332,5599.106884057969
2025-07-31,48.15260869565218,62.08333333333332,,7,62.08333333333332,2989.474456521739
2025-08-01,94.00521739130434,,,8,,
2025-08-02,52.38347826086956,,,8,,
2025-08-03,20.098695652173912,,,8,,
2025-08-04,14.725217391304348,,,8,,
2025-08-05,159.09130434782608,,,8,,
2025-08-06,19.081739130434784,,,8,,
2025-08-07,8.737826086956522,,,8,,
2025-08-08,5.916956521739131,,,8,,
2025-08-09,38.07347826086957,,,8,,
2025-08-10,22.257391304347827,,,8,,
2025-08-11,55.780869565217394,,,8,,
2025-08-12,37.83478260869565,,,8,,
2025-08-13,8.34,,,8,,
2025-08-14,13.478695652173911,,,8,,
2025-08-15,9.949565217391305,,,8,,
2025-08-16,5.411304347826087,,,8,,
2025-08-17,51.48782608695653,,,8,,
2025-08-18,42.985217391304346,,,8,,
2025-08-19,98.4017391304348,,,8,,
2025-08-20,16.022173913043478,,40.94163666666667,8,40.94163666666667,655.974022957971
2025-08-21,14.196956521739132,,39.12546,8,39.12546,555.4624545130434
2025-08-22,21.64565217391305,,46.79933,8,46.79933,1013.0020191521742
2025-08-23,21.109565217391303,,50.92786,8,50.92786,1075.064982052174
2025-08-24,63.42173913043477,,51.052533333333336,8,51.052533333333336,3237.8404510144924
2025-08-25,145.72826086956522,,48.074513333333336,8,48.074513333333336,7005.8152202173915
2025-08-26,147.64217391304348,,44.54311666666666,8,44.54311666666666,6576.442577528985
2025-08-27,62.022608695652174,,46.85271,8,46.85271,2905.92729866087
2025-08-28,165.61434782608697,,46.11939666666667,8,46.11939666666667,7638.033801082609
2025-08-29,98.58695652173913,,43.530339999999995,8,43.530339999999995,4291.523736956521
2025-08-30,39.10434782608696,,42.55417666666667,8,42.55417666666667,1664.053325826087
2025-08-31,31.05304347826087,,43.47122666666667,8,43.47122666666667,1349.9138917333335
2025-09-01,84.2995652173913,,28.221166666666665,9,28.221166666666665,2379.032079927536
2025-09-02,139.1004347826087,,38.25787666666667,9,38.25787666666667,5321.687278192753
2025-09-03,41.24130434782609,,30.12877,9,30.12877,1242.549773195652
2025-09-04,17.074347826086957,,45.79528333333334,9,45.79528333333334,781.9245964275364
2025-09-05,53.38347826086956,,44.39792,9,44.39792,2370.1153971478257
2025-09-06,22.90217391304348,,40.405813333333334,9,40.405813333333334,925.3809640579711
2025-09-07,36.20869565217391,,22.97503,9,22.97503,831.8958688695651
2025-09-08,424.9760869565218,,35.12876666666667,9,35.12876666666667,14928.885797608698
